time,timeStamp/s,accZ/s,Tremor/s,accY/s,DeviceID/s,Activity/s,accX/s
23/10 19:50:34,1571840434174,10.014084,0,0.13711548,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.50712585
23/10 19:50:34,1571840434175,9.957809,0,0.16226196,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.31918335
23/10 19:50:34,1571840434176,9.870422,0,0.1694336,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.45684814
23/10 19:50:34,1571840434177,9.74353,0,0.20295715,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.4580536
23/10 19:50:34,1571840434178,9.739944,0,0.21014404,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.42692566
23/10 19:50:34,1571840434393,9.526855,0,0.29753113,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.38861084
23/10 19:50:34,1571840434394,9.887192,0,0.19697571,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.41854858
23/10 19:50:34,1571840434395,10.012878,0,0.19577026,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.47720337
23/10 19:50:34,1571840434396,9.987747,0,0.07965088,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.38861084
23/10 19:50:34,1571840434397,9.737549000000001,0,0.36216736,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.45205688
23/10 19:50:34,1571840434398,9.930283,0,0.17901611,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.400589
23/10 19:50:34,1571840434612,9.557983,0,0.39569092,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.43171692
23/10 19:50:34,1571840434613,9.581924,0,0.36097717,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.45565796
23/10 19:50:34,1571840434614,9.870422,0,0.23048401,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.57655334
23/10 19:50:34,1571840434615,9.85965,0,0.17782593,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.4329071
23/10 19:50:34,1571840434616,9.84169,0,0.12515259,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.34552002
23/10 19:50:34,1571840434617,9.796204,0,0.24365234,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.42453003
23/10 19:50:34,1571840434618,9.82135,0,0.24127197,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.50593567
23/10 19:50:34,1571840434831,9.820145,0,0.25444029999999995,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.55740356
23/10 19:50:34,1571840434832,9.744736,0,0.30830383,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.5226898
23/10 19:50:34,1571840434833,9.778244,0,0.2951355,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.60409546
23/10 19:50:34,1571840434834,10.076324000000001,0,0.13352966,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.519104
23/10 19:50:34,1571840434835,9.8979645,0,0.21612549,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.40896606
23/10 19:50:34,1571840434836,9.964996000000001,0,0.186203,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.49993896
23/10 19:50:35,1571840435051,9.9219055,0,0.16465760000000002,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.3754425
23/10 19:50:35,1571840435052,9.932678,0,0.24127197,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.3359375
23/10 19:50:35,1571840435053,9.9207,0,0.186203,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.53944397
23/10 19:50:35,1571840435054,9.966202000000001,0,0.15866089,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.5562134
23/10 19:50:35,1571840435055,9.812973,0,0.19697571,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.24137878
23/10 19:50:35,1571840435056,9.704025,0,0.23048401,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.32397459999999995
23/10 19:50:35,1571840435057,9.793808,0,0.19697571,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.5119170999999999
23/10 19:50:35,1571840435272,9.786636,0,0.23648071,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.45684814
23/10 19:50:35,1571840435273,9.726776,0,0.26281738,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.3922119
23/10 19:50:35,1571840435274,9.829727,0,0.17901611,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.42932129999999996
23/10 19:50:35,1571840435275,9.857254,0,0.21612549,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.35270690000000005
23/10 19:50:35,1571840435276,9.846480999999999,0,0.21852112,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.5406494000000001
23/10 19:50:35,1571840435277,9.796204,0,0.21971129999999997,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.4975585999999999
23/10 19:50:35,1571840435278,9.846480999999999,0,0.2149353,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.48677063
23/10 19:50:35,1571840435492,9.929077000000001,0,0.17782593,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.44248962
23/10 19:50:35,1571840435493,9.885986,0,0.17063904,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.41854858
23/10 19:50:35,1571840435494,9.932678,0,0.21852112,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.36227417
23/10 19:50:35,1571840435495,9.943451,0,0.15148926,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.49874878
23/10 19:50:35,1571840435496,9.987747,0,0.17063904,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.3646698
23/10 19:50:35,1571840435497,9.854858,0,0.22929382,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.45684814
23/10 19:50:35,1571840435498,9.967392,0,0.17662048,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.42692566
23/10 19:50:35,1571840435711,10.004501,0,0.1359253,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.35510254
23/10 19:50:35,1571840435713,9.695648,0,0.28675842,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.52867126
23/10 19:50:35,1571840435714,9.560379,0,0.31428528,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.5729675
23/10 19:50:35,1571840435715,9.845291,0,0.2376709,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.5119170999999999
23/10 19:50:35,1571840435716,9.891967999999999,0,0.19816589999999998,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.27609253
23/10 19:50:35,1571840435717,9.749527,0,0.24844360000000001,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.57177734
23/10 19:50:35,1571840435931,9.7603,0,0.27238464,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.47001648
23/10 19:50:35,1571840435932,9.658539,0,0.26161194,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.40896606
23/10 19:50:35,1571840435933,9.704025,0,0.2376709,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.43888855
23/10 19:50:35,1571840435934,9.963806,0,0.119155884,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.4041748
23/10 19:50:35,1571840435935,9.851272999999999,0,0.23287964,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.5131073
23/10 19:50:35,1571840435936,9.748322,0,0.30949402,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.5957184
23/10 19:50:35,1571840435937,9.838104,0,0.26042175,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.6388092
23/10 19:50:36,1571840436150,10.093094,0,0.12753296,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.6388092
23/10 19:50:36,1571840436151,10.061966,0,0.10598755,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.52149963
23/10 19:50:36,1571840436152,9.805786,0,0.24365234,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.36347959999999996
23/10 19:50:36,1571840436153,9.930283,0,0.16584778,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.5334625
23/10 19:50:36,1571840436154,9.8979645,0,0.18380737,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.66275024
23/10 19:50:36,1571840436155,9.755508,0,0.25083923,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.5226898
